iter	Passed	Remaining
315	1109	2401
316	1112	2396
317	1115	2391
318	1119	2390
319	1122	2385
320	1125	2381
321	1128	2376
322	1131	2371
323	1135	2368
324	1151	2390
325	1154	2387
326	1158	2383
327	1161	2378
328	1164	2374
329	1168	2372
330	1171	2368
331	1174	2363
332	1177	2358
333	1180	2353
334	1184	2350
335	1187	2346
336	1190	2341
337	1192	2336
338	1196	2332
339	1199	2328
340	1202	2324
341	1205	2319
342	1208	2315
343	1211	2310
344	1215	2306
345	1218	2302
346	1221	2298
347	1224	2293
348	1226	2288
349	1230	2284
350	1233	2281
351	1236	2276
352	1239	2271
353	1242	2267
354	1245	2262
355	1248	2259
356	1251	2254
357	1254	2250
358	1257	2245
359	1260	2240
360	1264	2238
361	1268	2235
362	1271	2230
363	1274	2226
364	1276	2221
365	1280	2218
366	1283	2214
367	1286	2209
368	1289	2204
369	1291	2199
370	1295	2196
371	1298	2192
372	1301	2187
373	1304	2183
374	1307	2178
375	1310	2174
376	1313	2170
377	1316	2166
378	1319	2162
379	1322	2157
380	1325	2153
381	1328	2149
382	1331	2145
383	1334	2140
384	1337	2136
385	1340	2131
386	1343	2128
387	1346	2124
388	1349	2120
389	1352	2115
390	1355	2111
391	1359	2108
392	1363	2106
393	1366	2102
394	1369	2097
395	1372	2093
396	1376	2090
397	1379	2086
398	1381	2081
399	1384	2077
400	1387	2072
401	1390	2069
402	1394	2065
403	1397	2061
404	1400	2056
405	1402	2052
406	1406	2048
407	1409	2045
408	1412	2041
409	1415	2036
410	1418	2032
411	1421	2028
412	1424	2025
413	1427	2020
414	1430	2016
415	1433	2012
416	1436	2008
417	1439	2004
418	1443	2001
419	1446	1996
420	1448	1992
421	1451	1988
422	1454	1984
423	1458	1981
424	1461	1977
425	1464	1972
426	1466	1968
427	1469	1964
428	1473	1961
429	1476	1957
430	1479	1953
431	1482	1948
432	1485	1944
433	1488	1941
434	1491	1937
435	1494	1933
436	1497	1929
437	1500	1925
438	1504	1922
439	1507	1919
440	1510	1914
441	1513	1910
442	1516	1906
443	1520	1903
444	1523	1899
445	1526	1895
446	1529	1891
447	1532	1887
448	1535	1884
449	1538	1880
450	1541	1876
451	1544	1872
452	1547	1868
453	1550	1864
454	1553	1861
455	1556	1856
456	1559	1852
457	1562	1848
458	1565	1844
459	1568	1841
460	1572	1837
461	1574	1834
462	1577	1829
463	1580	1825
464	1584	1823
465	1587	1819
466	1590	1815
467	1593	1811
468	1596	1807
469	1599	1803
470	1602	1800
471	1605	1796
472	1608	1792
473	1611	1788
474	1614	1784
475	1617	1781
476	1620	1777
477	1623	1773
478	1626	1769
479	1629	1764
480	1632	1761
481	1636	1759
482	1640	1755
483	1642	1751
484	1645	1747
485	1649	1744
486	1652	1740
487	1655	1736
488	1658	1732
489	1660	1728
490	1664	1725
491	1667	1721
492	1670	1717
493	1673	1714
494	1676	1710
495	1679	1706
496	1682	1703
497	1685	1699
498	1688	1695
499	1691	1691
500	1694	1687
501	1698	1684
502	1701	1681
503	1704	1677
504	1706	1673
505	1709	1669
506	1713	1666
507	1716	1662
508	1719	1658
509	1722	1654
510	1725	1651
511	1729	1648
512	1732	1644
513	1735	1640
514	1738	1637
515	1741	1633
516	1744	1630
517	1748	1626
518	1750	1622
519	1753	1618
520	1756	1614
521	1761	1612
522	1765	1609
523	1768	1606
524	1770	1602
525	1773	1598
526	1777	1595
527	1780	1591
528	1783	1587
529	1786	1583
530	1788	1580
531	1792	1576
532	1795	1573
533	1798	1569
534	1801	1565
535	1804	1561
536	1807	1558
537	1811	1555
538	1813	1551
539	1816	1547
540	1819	1543
541	1822	1540
542	1826	1537
543	1829	1533
544	1832	1529
545	1835	1525
546	1837	1522
547	1842	1519
548	1845	1516
549	1848	1512
550	1851	1508
551	1854	1505
552	1858	1502
553	1861	1498
554	1864	1495
555	1867	1491
556	1871	1488
557	1874	1485
558	1877	1481
559	1880	1477
560	1883	1474
561	1886	1470
562	1890	1467
563	1893	1463
564	1896	1459
565	1898	1456
566	1901	1452
567	1906	1450
568	1909	1446
569	1912	1442
570	1915	1439
571	1918	1435
572	1922	1432
573	1925	1428
574	1927	1425
575	1930	1421
576	1933	1417
577	1938	1414
578	1941	1411
579	1943	1407
580	1946	1404
581	1949	1400
582	1953	1397
583	1956	1393
584	1959	1390
585	1962	1386
586	1965	1382
587	1968	1379
588	1971	1375
589	1974	1372
590	1977	1368
591	1980	1364
592	1983	1361
593	1987	1358
594	1989	1354
595	1992	1350
596	1995	1347
597	1998	1343
598	2002	1340
599	2005	1336
600	2008	1333
601	2010	1329
602	2013	1325
603	2017	1322
604	2020	1319
605	2023	1315
606	2026	1311
607	2029	1308
608	2032	1305
609	2035	1301
610	2038	1298
611	2041	1294
612	2044	1290
613	2047	1287
614	2051	1284
615	2054	1280
616	2056	1276
617	2059	1273
618	2062	1269
619	2066	1266
620	2069	1262
621	2072	1259
622	2075	1255
623	2078	1252
624	2082	1249
625	2085	1245
626	2087	1242
627	2090	1238
628	2093	1234
629	2097	1231
630	2100	1228
631	2103	1224
632	2106	1221
633	2108	1217
634	2112	1214
635	2115	1210
636	2119	1208
637	2123	1204
638	2125	1200
639	2129	1198
640	2132	1194
641	2135	1190
642	2138	1187
643	2141	1183
644	2144	1180
645	2148	1177
646	2151	1173
647	2153	1169
648	2156	1166
649	2159	1163
650	2164	1160
651	2167	1156
652	2170	1153
653	2173	1149
654	2177	1146
655	2180	1143
656	2183	1139
657	2185	1136
658	2188	1132
659	2191	1129
660	2195	1125
661	2198	1122
662	2201	1118
663	2204	1115
664	2206	1111
665	2210	1108
666	2213	1105
667	2216	1101
668	2219	1098
669	2222	1094
670	2225	1091
671	2228	1087
672	2231	1084
673	2234	1080
674	2237	1077
675	2240	1074
676	2244	1070
677	2247	1067
678	2249	1063
679	2252	1060
680	2256	1056
681	2259	1053
682	2262	1050
683	2265	1046
684	2268	1043
685	2271	1039
686	2274	1036
687	2277	1032
688	2280	1029
689	2283	1025
690	2286	1022
691	2289	1019
692	2293	1015
693	2296	1012
694	2299	1008
695	2301	1005
696	2305	1002
697	2308	998
698	2311	995
699	2314	991
700	2317	988
701	2320	985
702	2323	981
703	2326	978
704	2329	974
705	2332	971
706	2335	968
707	2339	964
708	2342	961
709	2345	957
710	2348	954
711	2351	951
712	2354	947
713	2357	944
714	2360	940
715	2363	937
716	2366	933
717	2370	930
718	2373	927
719	2376	924
720	2379	920
721	2382	917
722	2386	914
723	2389	910
724	2392	907
725	2395	903
726	2398	900
727	2401	897
728	2404	893
729	2407	890
730	2410	887
731	2413	883
732	2416	880
733	2420	877
734	2423	873
735	2425	870
736	2428	866
737	2432	863
738	2435	860
739	2438	856
740	2441	853
741	2444	849
742	2447	846
743	2450	843
744	2453	839
745	2456	836
746	2459	832
747	2462	829
748	2465	826
749	2468	822
750	2471	819
751	2474	816
752	2477	812
753	2480	809
754	2484	806
755	2486	802
756	2489	799
757	2492	795
758	2495	792
759	2499	789
760	2502	785
761	2505	782
762	2508	779
763	2510	775
764	2514	772
765	2517	769
766	2520	765
767	2523	762
768	2525	758
769	2529	755
770	2532	752
771	2535	748
772	2538	745
773	2540	741
774	2544	738
775	2547	735
776	2550	732
777	2553	728
778	2556	725
779	2559	722
780	2564	718
781	2567	715
782	2569	712
783	2572	708
784	2575	705
785	2579	702
786	2582	698
787	2585	695
788	2587	692
789	2590	688
790	2594	685
791	2598	682
792	2601	679
793	2604	675
794	2606	672
795	2610	669
796	2614	665
797	2616	662
798	2619	659
799	2622	655
800	2626	652
801	2629	649
802	2633	645
803	2636	642
804	2639	639
805	2642	636
806	2645	632
807	2648	629
808	2651	626
809	2654	622
810	2657	619
811	2661	616
812	2664	612
813	2666	609
814	2669	606
815	2673	602
816	2676	599
817	2679	596
818	2682	592
819	2684	589
820	2688	586
821	2691	582
822	2694	579
823	2697	576
824	2700	572
825	2703	569
826	2707	566
827	2710	563
828	2713	559
829	2716	556
830	2719	553
831	2723	550
832	2726	546
833	2729	543
834	2732	540
835	2735	536
836	2739	533
837	2742	530
838	2745	526
839	2748	523
840	2750	520
841	2754	516
842	2757	513
843	2760	510
844	2763	506
845	2766	503
846	2770	500
847	2773	497
848	2776	493
849	2779	490
850	2782	487
851	2785	483
852	2789	480
853	2792	477
854	2795	474
855	2798	470
856	2802	467
857	2805	464
858	2808	461
859	2811	457
860	2814	454
861	2818	451
862	2822	448
863	2825	444
864	2828	441
865	2831	438
866	2834	434
867	2838	431
868	2841	428
869	2844	424
870	2847	421
871	2850	418
872	2853	415
873	2856	411
874	2859	408
875	2862	405
876	2866	402
877	2869	398
878	2872	395
879	2875	392
880	2878	388
881	2881	385
882	2885	382
883	2888	379
884	2891	375
885	2893	372
886	2897	369
887	2900	365
888	2903	362
889	2906	359
890	2909	355
891	2912	352
892	2916	349
893	2919	346
894	2922	342
895	2925	339
896	2928	336
897	2931	333
898	2934	329
899	2937	326
900	2940	323
901	2943	319
902	2946	316
903	2949	313
904	2952	309
905	2955	306
906	2958	303
907	2961	300
908	2965	296
909	2968	293
910	2971	290
911	2973	286
912	2977	283
913	2980	280
914	2983	277
915	2986	273
916	2989	270
917	2992	267
918	2996	264
919	2999	260
920	3001	257
921	3004	254
922	3007	250
923	3011	247
924	3014	244
925	3017	241
926	3020	237
927	3022	234
928	3026	231
929	3030	228
930	3032	224
931	3035	221
932	3038	218
933	3041	214
934	3045	211
935	3048	208
936	3050	205
937	3053	201
938	3056	198
939	3060	195
940	3063	192
941	3066	188
942	3068	185
943	3072	182
944	3076	179
945	3079	175
946	3082	172
947	3085	169
948	3089	166
949	3092	162
950	3095	159
951	3098	156
952	3101	152
953	3105	149
954	3108	146
955	3111	143
956	3114	139
957	3117	136
958	3120	133
959	3125	130
960	3128	126
961	3131	123
962	3133	120
963	3137	117
964	3140	113
965	3143	110
966	3146	107
967	3149	104
968	3152	100
969	3157	97
970	3160	94
971	3163	91
972	3165	87
973	3170	84
974	3173	81
975	3177	78
976	3181	74
977	3184	71
978	3188	68
979	3192	65
980	3196	61
981	3200	58
982	3204	55
983	3207	52
984	3211	48
985	3214	45
986	3219	42
987	3222	39
988	3226	35
989	3229	32
990	3234	29
991	3238	26
992	3241	22
993	3245	19
994	3249	16
995	3253	13
996	3257	9
997	3260	6
998	3264	3
999	3268	0
