iter	RMSE
228	0.313972351
229	0.3138063097
230	0.3137232215
231	0.3135663343
232	0.3133373436
233	0.3132619323
234	0.3130800308
235	0.3129433253
236	0.3128245394
237	0.312647537
238	0.3124196445
239	0.3123130601
240	0.3121886955
241	0.3120145256
242	0.3119737906
243	0.3118746595
244	0.3116295509
245	0.3115182693
246	0.3114458817
247	0.3112740978
248	0.311104027
249	0.3109569138
250	0.3107667149
251	0.3106066199
252	0.3104562211
253	0.3102829451
254	0.3101073332
255	0.3099627082
256	0.3097299142
257	0.3096397304
258	0.3095419229
259	0.3094252651
260	0.3093363005
261	0.3091971136
262	0.3089979546
263	0.3088519935
264	0.3087181292
265	0.3085917214
266	0.3084950661
267	0.3083791722
268	0.308244487
269	0.308117802
270	0.307979186
271	0.3078341777
272	0.3077628794
273	0.3076608257
274	0.3075732043
275	0.3074361404
276	0.3073304705
277	0.3072949782
278	0.3072548554
279	0.307127864
280	0.3069679936
281	0.3069147966
282	0.3067997694
283	0.3067159069
284	0.3065441404
285	0.3064839356
286	0.3064018403
287	0.3063150083
288	0.3062432241
289	0.3060929351
290	0.3059245407
291	0.305831804
292	0.3057056897
293	0.3055810603
294	0.3054383433
295	0.3052506961
296	0.3051238373
297	0.3050479391
298	0.3048852747
299	0.3048043795
300	0.3047644628
301	0.3047322513
302	0.3045717095
303	0.3045163629
304	0.3044345366
305	0.3043250263
306	0.3042227473
307	0.3041037645
308	0.3040021169
309	0.3038842401
310	0.3037609175
311	0.303661253
312	0.3036154308
313	0.3035287001
314	0.3034818475
315	0.3034132802
316	0.3032113083
317	0.3030835775
318	0.3030025533
319	0.302893575
320	0.3027928099
321	0.3026766522
322	0.3025591001
323	0.3024561821
324	0.3023772184
325	0.3022683209
326	0.3021704073
327	0.3021102813
328	0.3019994913
329	0.3019574152
330	0.3018591781
331	0.301663047
332	0.3016140642
333	0.3015086616
334	0.3014461086
335	0.3013579971
336	0.3012169968
337	0.3011456206
338	0.3010295855
339	0.3009717084
340	0.3008360831
341	0.3006715783
342	0.300601601
343	0.3005047006
344	0.300447115
345	0.3003423196
346	0.3002173918
347	0.3001602184
348	0.3000611806
349	0.2999215777
350	0.2997596015
351	0.2996948097
352	0.2995999635
353	0.2994796038
354	0.2994156257
355	0.2993239227
356	0.2992347928
357	0.2991315024
358	0.2990196042
359	0.2989855701
360	0.2989045507
361	0.2987897752
362	0.2986693688
363	0.298578794
364	0.2985062787
365	0.2983564538
366	0.2982714518
367	0.2982033968
368	0.2981630606
369	0.2980831276
370	0.2979859385
371	0.2979256505
372	0.2978275283
373	0.2977145304
374	0.2976434612
375	0.2975667924
376	0.2974791164
377	0.2973634645
378	0.2972634363
379	0.2972161122
380	0.2971913488
381	0.2971016417
382	0.2970227745
383	0.2969887794
384	0.2968590192
385	0.2966934726
386	0.296594363
387	0.2964625487
388	0.2963483722
389	0.2962762542
390	0.2961344192
391	0.2960117797
392	0.2958715937
393	0.2958424456
394	0.2957457772
395	0.2956596876
396	0.2956044724
397	0.2955163022
398	0.2954488588
399	0.2953687354
400	0.2952878232
401	0.2951961165
402	0.2951270772
403	0.2950035439
404	0.2949482732
405	0.2948502379
406	0.2948019972
407	0.2947295089
408	0.2946797942
409	0.294611723
410	0.2945554635
411	0.294500292
412	0.2944368176
413	0.294376166
414	0.2943077782
415	0.2941624606
416	0.2940631079
417	0.2940010007
418	0.2938963774
419	0.2938437914
420	0.2937793241
421	0.2936964829
422	0.2936139434
423	0.2935497245
424	0.2934749431
425	0.2934125057
426	0.2933066101
427	0.2932099869
428	0.2931075623
429	0.2930465336
430	0.2928760973
431	0.2928252384
432	0.2927721657
433	0.2926902078
434	0.29256418
435	0.2924734348
436	0.2923821141
437	0.2923302868
438	0.2922924159
439	0.2922219781
440	0.292131638
441	0.2920597114
442	0.2919919574
443	0.2919254549
444	0.2918150623
445	0.2917287921
446	0.2916773179
447	0.2916042847
448	0.291547585
449	0.2913946756
450	0.2913449645
451	0.2912384676
452	0.2912033561
453	0.2911005812
454	0.2910584081
455	0.2909707853
456	0.2909115195
457	0.2908309521
458	0.290778636
459	0.290721965
460	0.290664178
461	0.2905851387
462	0.2904717098
463	0.2903792504
464	0.2902962763
465	0.2902355512
466	0.2901171566
467	0.2900155157
468	0.2899861295
469	0.2899178097
470	0.2898362221
471	0.2897368215
472	0.2896770222
473	0.2896409749
474	0.2895420489
475	0.2894580307
476	0.2894199931
477	0.2893591736
478	0.2893079103
479	0.2892385407
480	0.2891566835
481	0.2890803757
482	0.2889868187
483	0.2889490408
484	0.2888777692
485	0.2888100639
486	0.2887104112
487	0.288642629
488	0.2885712913
489	0.2885091481
490	0.2884522062
491	0.2883431295
492	0.288274535
493	0.2882075307
494	0.2881440244
495	0.288108551
496	0.2880753267
497	0.2879634117
498	0.2878639468
499	0.287781753
500	0.2877071975
501	0.2876386423
502	0.2875828314
503	0.2875414548
504	0.2874419119
505	0.2873682829
506	0.2873228807
507	0.2872119618
508	0.2871282172
509	0.287021292
510	0.2869372945
511	0.2868591573
512	0.2867961036
513	0.2867133594
514	0.2866211263
515	0.286584727
516	0.286528927
517	0.2864773167
518	0.2864041366
519	0.2863560764
520	0.286306557
521	0.2862177257
522	0.2861388907
523	0.2860862315
524	0.2860468362
525	0.2859497601
526	0.2859131428
527	0.2858730986
528	0.2857711576
529	0.2857073117
530	0.2856269147
531	0.2855286213
532	0.285499849
533	0.2853865707
534	0.285333263
535	0.2852472917
536	0.2852022266
537	0.2851489426
538	0.2851038928
539	0.2850464773
540	0.2849835639
541	0.2849224789
542	0.2848755096
543	0.2847707915
544	0.2846370468
545	0.2845252024
546	0.2844691992
547	0.2843897759
548	0.2842964945
549	0.2842383847
550	0.2841590214
551	0.2841179389
552	0.284048028
553	0.2840094098
554	0.2839615283
555	0.2839338512
556	0.2838748309
557	0.2838040207
558	0.2837338104
559	0.2836595535
560	0.2836006322
561	0.2835639238
562	0.2835157026
563	0.2834645579
564	0.2834192829
565	0.2833389323
566	0.2832661396
567	0.2832117021
568	0.2831240631
569	0.2830657991
570	0.2830073826
571	0.2828932136
572	0.2828178706
573	0.2827390014
574	0.2826450137
575	0.2826061877
576	0.2825703393
577	0.2825327826
578	0.2824346706
579	0.2823891947
580	0.2823214304
581	0.2822891855
582	0.2822517886
583	0.2821609934
584	0.2821253116
585	0.2820560148
586	0.2820044493
587	0.2819408112
588	0.2818524709
589	0.2817731405
590	0.2817022894
591	0.2816281324
592	0.2815923156
593	0.2815427733
594	0.2814606903
595	0.2814138082
596	0.2813516408
597	0.2813071277
598	0.2812566111
599	0.2811970399
600	0.28116066
601	0.2811168776
602	0.2810507206
603	0.2809817476
604	0.2809294446
605	0.2808628985
606	0.2808143517
607	0.2806880016
608	0.280587479
609	0.2805011746
610	0.2804594816
611	0.280374243
612	0.2803239064
613	0.2802760002
614	0.2802096776
615	0.2802059094
616	0.2800748632
617	0.280037523
618	0.279993881
619	0.2799630241
620	0.2798835713
621	0.279827963
622	0.2797795039
623	0.2797023863
624	0.2796527645
625	0.2795728954
626	0.2795273992
627	0.2794366426
628	0.2793696641
629	0.2793181866
630	0.2792501575
631	0.279218456
632	0.2791783735
633	0.2790832342
634	0.279056858
635	0.2789974241
636	0.2789070547
637	0.2788241713
638	0.2787758999
639	0.2787032568
640	0.2786997217
641	0.2786949945
642	0.278620459
643	0.2785574659
644	0.2785172128
645	0.2784584482
646	0.2784201648
647	0.2784168724
648	0.2783742872
649	0.2783293179
650	0.2782625331
651	0.2782029644
652	0.2781258603
653	0.2780630331
654	0.2780216059
655	0.277967962
656	0.2779642474
657	0.2778984395
658	0.2778953196
659	0.277833805
660	0.2777290353
661	0.2776874577
662	0.2776235061
663	0.2775793521
664	0.2775332755
665	0.2774668769
666	0.2774160665
667	0.2773898042
668	0.2773350119
669	0.2772479135
670	0.2771841429
671	0.2771241682
672	0.2771117485
673	0.2770412829
674	0.2769854746
675	0.2769231126
676	0.2768624869
677	0.2768221564
678	0.2767858028
679	0.2767574319
680	0.2767000497
681	0.2766506617
682	0.2765819521
683	0.2765417052
684	0.2765004217
685	0.2764837532
686	0.2764354186
687	0.2764294873
688	0.2763744971
689	0.276279972
690	0.2762292599
691	0.2761543557
692	0.2760943882
693	0.2760686828
694	0.2760415719
695	0.2760165148
696	0.2759583975
697	0.2759084627
698	0.2758619451
699	0.2757683652
700	0.2757221417
701	0.2757193048
702	0.2756472938
703	0.2756114462
704	0.2755580212
705	0.2754938496
706	0.2754645219
707	0.2754050818
708	0.2753701945
709	0.275314842
710	0.2752645086
711	0.2752174681
712	0.2751756262
713	0.2751567371
714	0.2750416791
715	0.2749569301
716	0.2749161417
717	0.2748725342
718	0.2748044594
719	0.2747608561
720	0.2746888734
721	0.2746502159
722	0.2745725098
723	0.2744910633
724	0.2744502054
725	0.2743994992
726	0.2743037677
727	0.2742224039
728	0.2742013553
729	0.2741389726
730	0.2740424999
731	0.2740148209
732	0.2739464053
733	0.2738877216
734	0.2738342357
735	0.273790664
736	0.2737673039
737	0.2737036595
738	0.2736475135
739	0.2735837119
740	0.2735434881
741	0.2734947696
742	0.2734486497
743	0.2733984517
744	0.2733347486
745	0.2732934156
746	0.2732593159
747	0.2732347508
748	0.2731979667
749	0.2731961906
750	0.2731476882
751	0.2730853086
752	0.2729930416
753	0.272925085
754	0.2728796528
755	0.272855744
756	0.2728045156
757	0.2727742596
758	0.2727690324
759	0.2727265859
760	0.2726546136
761	0.272595784
762	0.2725276848
763	0.2724657828
764	0.2724191445
765	0.2723480527
766	0.2722969348
767	0.2722955
768	0.2722520442
769	0.2722197717
770	0.2721869088
771	0.2721317185
772	0.2721301858
773	0.2721277824
774	0.2720629954
775	0.2720371096
776	0.2720013357
777	0.2719662361
778	0.2719444451
779	0.2719081011
780	0.2718597691
781	0.2718232364
782	0.271780011
783	0.2717383538
784	0.2716994584
785	0.2716178059
786	0.2715741514
787	0.271496276
788	0.2714610544
789	0.2713834513
790	0.2713181728
791	0.2712622213
792	0.2712587835
793	0.2712041668
794	0.2711756426
795	0.2711183729
796	0.2710577211
797	0.2709767634
798	0.270934953
799	0.2708667513
800	0.2708320704
801	0.270777656
802	0.2707314885
803	0.2706855476
804	0.270617557
805	0.2705620119
806	0.2705114029
807	0.2703999363
808	0.2703986558
809	0.2703524695
810	0.2703068328
811	0.2702302433
812	0.270146582
813	0.2701231887
814	0.2700685849
815	0.2700448181
816	0.2700073699
817	0.2699035356
818	0.2698534402
819	0.2697908479
820	0.269763829
821	0.2697127572
822	0.2696543521
823	0.2695936455
824	0.2695923404
825	0.2695455402
826	0.2694797696
827	0.2694065064
828	0.2693585411
829	0.2693118711
830	0.2692536747
831	0.2692094409
832	0.269169227
833	0.2691241415
834	0.269035173
835	0.2690074333
836	0.2689635947
837	0.2689084113
838	0.2688780567
839	0.2688491294
840	0.2687963712
841	0.2686904023
842	0.2686380854
843	0.2685953152
844	0.2685488469
845	0.2685030823
846	0.268452737
847	0.2684015145
848	0.2683413813
849	0.268318807
850	0.2682611335
851	0.2681970059
852	0.268144328
853	0.2681145479
854	0.2680525727
855	0.2679580121
856	0.2679158121
857	0.2678747183
858	0.267818128
859	0.2678169803
860	0.2677702313
861	0.2677068412
862	0.2676329898
863	0.2675770702
864	0.2675256326
865	0.2674583986
866	0.2673923484
867	0.2673091182
868	0.267230543
869	0.2671696941
870	0.2671388164
871	0.2670920023
872	0.2670440477
873	0.2669778415
874	0.2669528282
875	0.2669183163
876	0.2668813253
877	0.2668370792
878	0.2667785814
879	0.2667335259
880	0.2666556375
881	0.2666224157
882	0.2665857768
883	0.2665446474
884	0.2664906057
885	0.2664441113
886	0.2663774777
887	0.2663449984
888	0.2663093226
889	0.2662361469
890	0.2661953913
891	0.2661483822
892	0.2660987741
893	0.2660328797
894	0.2659926916
895	0.2659353342
896	0.265913934
897	0.2658673795
898	0.2658366368
899	0.2657819642
900	0.2657476715
901	0.2656925878
902	0.2656883466
903	0.2656582633
904	0.2656019677
905	0.2655598119
906	0.2655088385
907	0.2655075647
908	0.2654478337
909	0.2653883025
910	0.2653586013
911	0.2653166136
912	0.2652548312
913	0.2652157007
914	0.2651733508
915	0.2651376814
916	0.2651174989
917	0.2650785644
918	0.2650279081
919	0.2649418302
920	0.264909264
921	0.264875423
922	0.2648379402
923	0.2647656706
924	0.2647302323
925	0.2646590617
926	0.2646132256
927	0.2645593442
928	0.2645223967
929	0.2644722327
930	0.2644281439
931	0.2644271295
932	0.2643878065
933	0.2643503217
934	0.2643484736
935	0.2642945441
936	0.26425409
937	0.2641742453
938	0.2641507265
939	0.2640901869
940	0.2640380911
941	0.2639767447
942	0.2639098493
943	0.2638724837
944	0.2638029981
945	0.2637449026
946	0.2637082382
947	0.2636586434
948	0.2636330127
949	0.2636159767
950	0.2635639393
951	0.2635255147
952	0.2634711748
953	0.2634391124
954	0.2633913356
955	0.2633463254
956	0.2632784551
957	0.2632217015
958	0.2631867616
959	0.2631329829
960	0.2630662946
961	0.2630608178
962	0.2630076621
963	0.2629788884
964	0.2629555563
965	0.2629203325
966	0.2628863505
967	0.2628553142
968	0.2627993031
969	0.2627360955
970	0.2626959421
971	0.2626558981
972	0.2626545287
973	0.2625975219
974	0.2625639131
975	0.2625216065
976	0.2624578784
977	0.2624228789
978	0.2624101122
979	0.2623723364
980	0.2623311596
981	0.262257552
982	0.262211049
983	0.2621403424
984	0.2620985828
985	0.2620531914
986	0.2620523493
987	0.2620008582
988	0.2619763269
989	0.2619537902
990	0.2618850241
991	0.2618149942
992	0.2617991158
993	0.2617602381
994	0.2617153091
995	0.2616510485
996	0.2616085362
997	0.2615495592
998	0.2614969624
999	0.2614695551
